learning_rate,per_device_train_batch_size,max_seq_length,num_train_epochs,loss,accuracy,precision,recall,f1,runtime,samples_per_second,steps_per_second,epoch
2e-05,16,64,3,0.36023008823394775,0.9066666666666666,0.8885350318471338,0.93,0.9087947882736156,2.0114,1491.484,23.367,3.0
2e-05,16,64,5,0.4380398690700531,0.9066666666666666,0.8925353925353925,0.9246666666666666,0.908316961362148,2.0291,1478.494,23.163,5.0
2e-05,16,128,3,0.36840441823005676,0.904,0.8778054862842892,0.9386666666666666,0.9072164948453608,2.2519,1332.185,20.871,3.0
2e-05,16,128,5,0.4562743604183197,0.902,0.8840764331210191,0.9253333333333333,0.9042345276872964,2.2587,1328.19,20.808,5.0
2e-05,32,64,3,0.29775702953338623,0.902,0.875,0.938,0.9054054054054054,2.0095,1492.924,23.389,3.0
2e-05,32,64,5,0.38496923446655273,0.9026666666666666,0.8847133757961784,0.926,0.904885993485342,2.0131,1490.234,23.347,5.0
2e-05,32,128,3,0.292965829372406,0.9,0.8778337531486146,0.9293333333333333,0.9028497409326425,2.2573,1329.042,20.822,3.0
2e-05,32,128,5,0.36731916666030884,0.9056666666666666,0.8913183279742766,0.924,0.9073649754500819,2.26,1327.45,20.797,5.0
3e-05,16,64,3,0.37897396087646484,0.9023333333333333,0.8841502227880331,0.926,0.9045913383262781,2.0236,1482.525,23.226,3.0
3e-05,16,64,5,0.4813130795955658,0.9016666666666666,0.8844926611359285,0.924,0.9038148027388327,2.0603,1456.075,22.812,5.0
3e-05,16,128,3,0.36894646286964417,0.9053333333333333,0.8877551020408163,0.928,0.9074315514993481,2.2775,1317.227,20.637,3.0
3e-05,16,128,5,0.4720279276371002,0.903,0.8872517616912236,0.9233333333333333,0.9049330284220843,2.2957,1306.776,20.473,5.0
3e-05,32,64,3,0.3249705731868744,0.9043333333333333,0.883133291219204,0.932,0.9069088550113525,2.0623,1454.691,22.79,3.0
3e-05,32,64,5,0.46453753113746643,0.9046666666666666,0.8866242038216561,0.928,0.9068403908794789,2.0251,1481.406,23.209,5.0
3e-05,32,128,3,0.3114609718322754,0.9043333333333333,0.881686595342983,0.934,0.9070896730333441,2.2816,1314.852,20.599,3.0
3e-05,32,128,5,0.42826399207115173,0.907,0.8926045016077171,0.9253333333333333,0.9086743044189852,2.2764,1317.858,20.646,5.0
5e-05,16,64,3,0.35226693749427795,0.8966666666666666,0.8728070175438597,0.9286666666666666,0.8998708010335917,2.0111,1491.723,23.37,3.0
5e-05,16,64,5,0.47431614995002747,0.9036666666666666,0.8888888888888888,0.9226666666666666,0.905462872096827,2.1535,1393.106,21.825,5.0
5e-05,16,128,3,0.3704678416252136,0.9053333333333333,0.8843236409608091,0.9326666666666666,0.9078520441271901,2.2712,1320.887,20.694,3.0
5e-05,16,128,5,0.5025869011878967,0.8986666666666666,0.8853092783505154,0.916,0.9003931847968545,2.2706,1321.217,20.699,5.0
5e-05,32,64,3,0.3271734416484833,0.9046666666666666,0.889102564102564,0.9246666666666666,0.9065359477124183,2.0006,1499.578,23.493,3.0
5e-05,32,64,5,0.4737682342529297,0.906,0.8939197930142303,0.9213333333333333,0.9074195666447801,2.0185,1486.236,23.284,5.0
5e-05,32,128,3,0.31946539878845215,0.9046666666666666,0.8916129032258064,0.9213333333333333,0.9062295081967213,2.2608,1326.975,20.789,3.0
5e-05,32,128,5,0.4977355897426605,0.902,0.8865384615384615,0.922,0.903921568627451,2.2987,1305.066,20.446,5.0
